"","Median","LCI","UCI","Geweke.p","Heidel.p","Autocorr_lag1","Autocorr_lag5","Autocorr_lag10"
"K",18.1102166308496,11.3420324109598,32.156925671393,0.689,0.806,-0.00187384854585249,-0.00310432178631221,0.00172704867333832
"r",0.0971505584174389,0.0564168708679597,0.15908001396592,0.808,0.173,0.00269254457682261,0.00395789258723299,0.00435506071449581
"q.1",8.06018380666717,4.06114632008703,14.4306410307839,0.326,0.582,0.00554266733580546,0.00895326582432,0.00148978283846114
"q.2",0.550568849308118,0.273922317893721,1.00009956035812,0.471,0.639,0.00374543011289924,0.0092607959953397,-0.005128942865059
"psi",0.830789845060387,0.592099609238533,1.1147883012502,0.927,0.348,0.00573291624628153,0.00335946381670374,-0.00792170990566838
"sigma2",0.00596676373381757,0.00224982253896663,0.0122780852399321,0.526,0.498,-0.00833721406456745,-0.00628132824921469,-0.00712917021067036
"tau2",0.0125046853668417,0.00793190982393967,0.0202746385666353,0.09,0.437,-0.00070121241992733,-0.00725793902679924,0.00567253509933128
"m",0.806,0.806,0.806,NA,NA,0.999966666666667,0.999833333333333,0.999666666666667
